SARATOV AIRFOIL
       15.       15.

  0.000000  0.000000
  0.012500  0.020310
  0.025000  0.030630
  0.050000  0.046250
  0.100000  0.067500
  0.150000  0.082750
  0.200000  0.097000
  0.300000  0.117500
  0.400000  0.125000
  0.500000  0.113500
  0.600000  0.097000
  0.700000  0.077500
  0.800000  0.055000
  0.900000  0.028500
  1.000000  0.000000

  0.000000  0.000000
  0.012500 -0.014690
  0.025000 -0.019380
  0.050000 -0.021750
  0.100000 -0.020500
  0.150000 -0.009250
  0.200000  0.005000
  0.300000  0.035500
  0.400000  0.070000
  0.500000  0.062500
  0.600000  0.050000
  0.700000  0.037500
  0.800000  0.025000
  0.900000  0.012500
  1.000000  0.000000
