SD8040 (10%)
       31.       31.

  0.002710  0.009380
  0.009670  0.018090
  0.020990  0.026940
  0.036530  0.035650
  0.056200  0.043890
  0.079940  0.051440
  0.107610  0.058140
  0.139030  0.063860
  0.173980  0.068500
  0.212180  0.072010
  0.253320  0.074340
  0.297060  0.075500
  0.343000  0.075520
  0.390700  0.074440
  0.439700  0.072330
  0.489530  0.069250
  0.539690  0.065300
  0.589660  0.060600
  0.638930  0.055270
  0.686990  0.049420
  0.733310  0.043210
  0.777390  0.036750
  0.818810  0.030180
  0.857170  0.023690
  0.892050  0.017570
  0.922990  0.012080
  0.949460  0.007480
  0.970930  0.003970
  0.986840  0.001620
  0.996670  0.000370
  1.000000  0.000000

  0.002710  0.009380
  0.000040  0.001010
  0.001570 -0.005820
  0.008450 -0.010970
  0.021200 -0.015420
  0.039250 -0.019110
  0.062410 -0.022020
  0.090460 -0.024130
  0.123170 -0.025460
  0.160230 -0.026090
  0.201250 -0.026100
  0.245760 -0.025580
  0.293260 -0.024560
  0.343240 -0.023110
  0.395130 -0.021300
  0.448360 -0.019210
  0.502320 -0.016900
  0.556400 -0.014450
  0.609990 -0.011930
  0.662490 -0.009430
  0.713270 -0.007040
  0.761740 -0.004870
  0.807260 -0.003010
  0.849210 -0.001530
  0.887000 -0.000440
  0.920100  0.000260
  0.948030  0.000620
  0.970360  0.000640
  0.986680  0.000440
  0.996650  0.000140
  1.000000  0.000000
