SOKOLOV AIRFOIL
       18.       18.

  0.000000  0.000000
  0.012500  0.016110
  0.025000  0.025230
  0.050000  0.038950
  0.075000  0.049680
  0.100000  0.058400
  0.150000  0.070850
  0.200000  0.081800
  0.250000  0.088250
  0.300000  0.092200
  0.400000  0.095600
  0.500000  0.090500
  0.600000  0.080400
  0.700000  0.066300
  0.800000  0.049200
  0.900000  0.030100
  0.950000  0.018550
  1.000000  0.007000

  0.000000  0.000000
  0.012500 -0.007890
  0.025000 -0.008770
  0.050000 -0.007050
  0.075000 -0.005330
  0.100000 -0.001100
  0.150000  0.005350
  0.200000  0.011300
  0.250000  0.017250
  0.300000  0.022700
  0.400000  0.032600
  0.500000  0.038500
  0.600000  0.038400
  0.700000  0.034300
  0.800000  0.025200
  0.900000  0.014100
  0.950000  0.007050
  1.000000  0.000000
