STRAND AIRFOIL
       20.       20.

  0.000000  0.000000
  0.004400  0.013300
  0.011400  0.023200
  0.019800  0.032000
  0.048800  0.054100
  0.103000  0.081500
  0.160700  0.100500
  0.200300  0.109300
  0.260700  0.116700
  0.321400  0.116000
  0.380500  0.101800
  0.410000  0.094300
  0.439500  0.086800
  0.518600  0.069000
  0.598100  0.052400
  0.697800  0.034100
  0.790100  0.020300
  0.894900  0.008200
  0.954000  0.003100
  1.000000  0.000000

  0.000000  0.000000
  0.004800 -0.015200
  0.010600 -0.020800
  0.024000 -0.023700
  0.045900 -0.027300
  0.106900 -0.036600
  0.165200 -0.039900
  0.209000 -0.039700
  0.263200 -0.037700
  0.319300 -0.034400
  0.397200 -0.028100
  0.417100 -0.026300
  0.437400 -0.024300
  0.520000 -0.016400
  0.604400 -0.008900
  0.691400 -0.002700
  0.780000  0.002300
  0.891700  0.004200
  0.957900  0.002600
  1.000000  0.000000
