UA(2)-180 smoothed
       29.       30.

  0.001030  0.006960
  0.007360  0.023120
  0.019205  0.041155
  0.036606  0.060385
  0.059339  0.079885
  0.087226  0.098777
  0.119934  0.116193
  0.157156  0.131083
  0.198412  0.142959
  0.243140  0.151922
  0.290878  0.157847
  0.341038  0.160382
  0.393161  0.158813
  0.446473  0.151376
  0.500044  0.138883
  0.553687  0.125025
  0.607325  0.111080
  0.659414  0.097285
  0.709635  0.083205
  0.757394  0.069054
  0.802140  0.056135
  0.843345  0.044260
  0.880525  0.033595
  0.913240  0.024095
  0.941110  0.016220
  0.963809  0.009934
  0.981070  0.004994
  0.992690  0.001910
  1.000000  0.000000

  0.001030  0.006960
  0.000720 -0.005230
  0.006500 -0.011920
  0.020130 -0.015420
  0.037430 -0.017820
  0.060153 -0.019951
  0.087961 -0.021529
  0.120586 -0.022676
  0.157658 -0.023232
  0.198745 -0.023293
  0.243353 -0.022957
  0.290978 -0.022280
  0.341054 -0.021315
  0.392989 -0.020122
  0.446179 -0.018760
  0.499993 -0.017275
  0.553827 -0.015680
  0.607324 -0.014040
  0.659414 -0.012415
  0.709635 -0.010810
  0.757395 -0.009240
  0.802140 -0.007715
  0.843345 -0.006259
  0.880525 -0.004905
  0.913240 -0.003700
  0.941110 -0.002635
  0.963809 -0.001680
  0.981070 -0.000869
  0.992689 -0.000310
  1.000000  0.000000
