UAG 88-143/20
       49.       49.

  0.000000  0.000000
  0.001070  0.007890
  0.004280  0.013430
  0.009610  0.020530
  0.017040  0.028290
  0.026530  0.036330
  0.038060  0.044540
  0.051560  0.052880
  0.066990  0.061280
  0.084270  0.069610
  0.103320  0.077740
  0.124080  0.085570
  0.146450  0.093010
  0.170330  0.099980
  0.195620  0.106420
  0.222210  0.112260
  0.250000  0.117470
  0.278860  0.122010
  0.308660  0.125840
  0.339280  0.128920
  0.370590  0.131220
  0.402450  0.132720
  0.434740  0.133380
  0.467300  0.133180
  0.500000  0.132080
  0.532700  0.130060
  0.565260  0.127060
  0.597550  0.123050
  0.629410  0.118010
  0.660720  0.111930
  0.691340  0.104800
  0.721140  0.096590
  0.750000  0.087190
  0.777790  0.076820
  0.804380  0.066280
  0.829670  0.056510
  0.853550  0.047940
  0.875920  0.040360
  0.896680  0.033600
  0.915730  0.027560
  0.933010  0.022180
  0.948440  0.017420
  0.961940  0.013270
  0.973470  0.009670
  0.982960  0.006600
  0.990390  0.004030
  0.995720  0.001960
  0.998930  0.000530
  1.000000  0.000020

  0.000000  0.000000
  0.001070 -0.000900
  0.004280 -0.003980
  0.009610 -0.006900
  0.017040 -0.009560
  0.026530 -0.011700
  0.038060 -0.013120
  0.051560 -0.014050
  0.066990 -0.014670
  0.084270 -0.015030
  0.103320 -0.015180
  0.124080 -0.015150
  0.146450 -0.014940
  0.170330 -0.014560
  0.195620 -0.014050
  0.222210 -0.013490
  0.250000 -0.012940
  0.278860 -0.012410
  0.308660 -0.011880
  0.339280 -0.011340
  0.370590 -0.010800
  0.402450 -0.010240
  0.434740 -0.009680
  0.467300 -0.009120
  0.500000 -0.008550
  0.532700 -0.007980
  0.565260 -0.007410
  0.597550 -0.006840
  0.629410 -0.006280
  0.660720 -0.005730
  0.691340 -0.005190
  0.721140 -0.004660
  0.750000 -0.004150
  0.777790 -0.003660
  0.804380 -0.003190
  0.829670 -0.002750
  0.853550 -0.002330
  0.875920 -0.001940
  0.896680 -0.001570
  0.915730 -0.001240
  0.933010 -0.000940
  0.948440 -0.000670
  0.961940 -0.000440
  0.973470 -0.000220
  0.982960 -0.000040
  0.990390  0.000060
  0.995720  0.000090
  0.998930  0.000080
  1.000000  0.000020
