USA-35B AIRFOIL
       17.       17.

  0.000000  0.000000
  0.012500  0.023900
  0.025000  0.033500
  0.050000  0.047600
  0.075000  0.058900
  0.100000  0.066900
  0.150000  0.078000
  0.200000  0.085200
  0.300000  0.090000
  0.400000  0.086600
  0.500000  0.075700
  0.600000  0.060500
  0.700000  0.043200
  0.800000  0.022600
  0.900000 -0.000400
  0.950000 -0.012600
  1.000000 -0.025100

  0.000000  0.000000
  0.012500 -0.017300
  0.025000 -0.021300
  0.050000 -0.024800
  0.075000 -0.026200
  0.100000 -0.026900
  0.150000 -0.027600
  0.200000 -0.027000
  0.300000 -0.026100
  0.400000 -0.025000
  0.500000 -0.023700
  0.600000 -0.023100
  0.700000 -0.023400
  0.800000 -0.024100
  0.900000 -0.025600
  0.950000 -0.026400
  1.000000 -0.027600
