WASP (smoothed)
       40.       40.

  0.000000 -0.000420
  0.000980  0.003950
  0.005480  0.010600
  0.013380  0.017790
  0.024330  0.025280
  0.038110  0.032880
  0.054680  0.040400
  0.073950  0.047500
  0.095760  0.053880
  0.119990  0.059440
  0.146480  0.064190
  0.175040  0.068130
  0.205490  0.071220
  0.237600  0.073450
  0.271200  0.074820
  0.306090  0.075370
  0.342040  0.075140
  0.378870  0.074210
  0.416380  0.072650
  0.454350  0.070550
  0.492650  0.067960
  0.530990  0.064950
  0.569370  0.061540
  0.607780  0.057750
  0.645940  0.053620
  0.683590  0.049230
  0.720430  0.044670
  0.756160  0.040010
  0.790480  0.035340
  0.823090  0.030710
  0.853700  0.026160
  0.882020  0.021730
  0.907750  0.017540
  0.930640  0.013730
  0.950440  0.010600
  0.966980  0.008310
  0.980370  0.006320
  0.990700  0.003920
  0.997540  0.001320
  1.000000  0.000070

  0.000000 -0.000420
  0.000980 -0.004340
  0.005480 -0.008970
  0.013380 -0.012730
  0.024330 -0.015700
  0.038110 -0.017990
  0.054680 -0.019730
  0.073950 -0.020940
  0.095760 -0.021670
  0.119990 -0.021970
  0.146480 -0.021890
  0.175040 -0.021470
  0.205490 -0.020770
  0.237600 -0.019840
  0.271200 -0.018720
  0.306090 -0.017460
  0.342040 -0.016080
  0.378870 -0.014620
  0.416380 -0.013090
  0.454350 -0.011540
  0.492650 -0.010020
  0.530990 -0.008560
  0.569370 -0.007230
  0.607780 -0.006040
  0.645940 -0.005030
  0.683590 -0.004200
  0.720430 -0.003530
  0.756160 -0.002990
  0.790480 -0.002580
  0.823090 -0.002310
  0.853700 -0.002200
  0.882020 -0.002230
  0.907750 -0.002370
  0.930640 -0.002580
  0.950440 -0.002910
  0.966980 -0.003230
  0.980370 -0.003130
  0.990700 -0.002250
  0.997540 -0.000880
  1.000000 -0.000160
